Player ID,Date of Install,Campaign ID,LTV Estimate,Acquisition Cost,Ad Network,Game,Geography,Device,Other Targeting
39571204,6/1/14,30572147,12.1323848,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571211,6/1/14,30572147,12.40306123,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571218,6/1/14,30572147,10.52298855,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571225,6/1/14,30572147,9.749849721,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571232,6/1/14,30572147,10.91291099,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571239,6/1/14,30572147,10.07205299,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571246,6/1/14,30572147,8.775791877,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571253,6/1/14,30572147,9.800492127,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571260,6/1/14,30572147,9.579229931,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571267,6/1/14,30572147,8.605770955,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571274,6/1/14,30572147,9.95704564,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571281,6/1/14,30572147,11.87620468,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571288,6/1/14,30572147,2.768459371,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571295,6/1/14,30572147,8.896025451,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571302,6/1/14,30572147,11.30046574,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571309,6/1/14,30572147,14.3706961,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571316,6/1/14,30572147,10.79354688,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571323,6/1/14,30572147,9.178193009,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571330,6/1/14,30572147,11.5986942,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571337,6/1/14,30572147,7.893400468,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571344,6/1/14,30572147,12.15433422,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571351,6/1/14,30572147,6.742160853,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571358,6/1/14,30572147,9.814624693,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571365,6/1/14,30572147,10.83932389,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571372,6/1/14,30572147,8.027122639,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571379,6/1/14,30572147,8.400963712,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571386,6/1/14,30572147,12.68117953,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571393,6/1/14,30572147,11.03565328,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571400,6/1/14,30572147,12.71127017,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571407,6/1/14,30572147,6.917869809,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571414,6/1/14,30572147,13.58689036,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571421,6/1/14,30572147,10.39327255,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571428,6/1/14,30572147,12.03467817,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571435,6/1/14,30572147,7.613794109,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571442,6/1/14,30572147,8.842724147,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571449,6/1/14,30572147,12.17304427,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39571456,6/1/14,30572147,9.774107088,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572926,6/2/14,30572147,12.77740493,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572933,6/2/14,30572147,11.27882295,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572940,6/2/14,30572147,7.447531648,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572947,6/2/14,30572147,11.58126443,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572954,6/2/14,30572147,9.714711436,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572961,6/2/14,30572147,7.166309235,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572968,6/2/14,30572147,10.70458513,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572975,6/2/14,30572147,9.185435909,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572982,6/2/14,30572147,9.336836763,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572989,6/2/14,30572147,10.71300113,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39572996,6/2/14,30572147,10.47040833,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573003,6/2/14,30572147,10.9918698,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573010,6/2/14,30572147,7.69525608,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573017,6/2/14,30572147,9.328902686,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573024,6/2/14,30572147,7.89111307,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573031,6/2/14,30572147,9.842439618,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573038,6/2/14,30572147,14.21088727,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573045,6/2/14,30572147,8.649786768,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573052,6/2/14,30572147,11.35885529,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573059,6/2/14,30572147,7.712203739,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573066,6/2/14,30572147,7.843739394,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573073,6/2/14,30572147,9.991393887,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573080,6/2/14,30572147,10.93875324,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573087,6/2/14,30572147,8.03045005,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573094,6/2/14,30572147,8.030048958,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573101,6/2/14,30572147,6.99371729,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573108,6/2/14,30572147,8.427774664,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573115,6/2/14,30572147,10.05889661,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573122,6/2/14,30572147,8.587878669,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39573129,6/2/14,30572147,10.04794505,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574333,6/3/14,30572147,9.436030774,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574340,6/3/14,30572147,10.58372208,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574347,6/3/14,30572147,8.315132574,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574354,6/3/14,30572147,11.59415262,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574361,6/3/14,30572147,8.658947739,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574368,6/3/14,30572147,9.813750358,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574375,6/3/14,30572147,9.780706716,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574382,6/3/14,30572147,8.092630242,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574389,6/3/14,30572147,12.39754029,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574396,6/3/14,30572147,9.168521635,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574403,6/3/14,30572147,9.219392921,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574410,6/3/14,30572147,12.50268961,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574417,6/3/14,30572147,12.11454197,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574424,6/3/14,30572147,13.96597763,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574431,6/3/14,30572147,13.14271384,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574438,6/3/14,30572147,11.88229969,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574445,6/3/14,30572147,9.404529674,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574452,6/3/14,30572147,8.709300637,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574459,6/3/14,30572147,10.99060758,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574466,6/3/14,30572147,8.584349451,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574473,6/3/14,30572147,7.393750382,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574480,6/3/14,30572147,12.08990646,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574487,6/3/14,30572147,11.51690936,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574494,6/3/14,30572147,11.00774038,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574501,6/3/14,30572147,8.367829175,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574508,6/3/14,30572147,11.81221802,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574515,6/3/14,30572147,9.844335245,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574522,6/3/14,30572147,11.44399462,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574529,6/3/14,30572147,8.863832662,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39574536,6/3/14,30572147,7.990530682,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575733,6/4/14,30572147,13.21454818,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575740,6/4/14,30572147,21.41187239,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575747,6/4/14,30572147,18.27329762,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575754,6/4/14,30572147,18.90668191,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575761,6/4/14,30572147,21.9386564,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575768,6/4/14,30572147,18.33257887,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575775,6/4/14,30572147,17.04688661,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575782,6/4/14,30572147,13.02977934,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575789,6/4/14,30572147,17.47003777,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575796,6/4/14,30572147,16.28866656,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575803,6/4/14,30572147,20.58722631,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575810,6/4/14,30572147,18.28917467,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575817,6/4/14,30572147,16.74183224,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575824,6/4/14,30572147,23.51977909,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575831,6/4/14,30572147,16.47708094,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575838,6/4/14,30572147,16.1100112,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575845,6/4/14,30572147,18.33205874,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575852,6/4/14,30572147,16.57178172,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575859,6/4/14,30572147,12.26894546,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575866,6/4/14,30572147,15.0725315,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575873,6/4/14,30572147,16.11614725,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575880,6/4/14,30572147,15.17493135,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575887,6/4/14,30572147,14.0797981,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575894,6/4/14,30572147,16.57258609,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575901,6/4/14,30572147,17.13702149,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575908,6/4/14,30572147,17.61700961,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575915,6/4/14,30572147,13.51770564,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575922,6/4/14,30572147,6.973973829,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575929,6/4/14,30572147,17.4078648,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575936,6/4/14,30572147,20.65312686,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39575943,6/4/14,30572147,22.55091082,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577154,6/5/14,30572147,17.72528706,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577161,6/5/14,30572147,14.52379426,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577168,6/5/14,30572147,10.33686799,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577175,6/5/14,30572147,18.40132232,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577182,6/5/14,30572147,15.10295589,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577189,6/5/14,30572147,11.61037535,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577196,6/5/14,30572147,17.14404406,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577203,6/5/14,30572147,14.76724917,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577210,6/5/14,30572147,21.40296475,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577217,6/5/14,30572147,23.64580132,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577224,6/5/14,30572147,19.99403561,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577231,6/5/14,30572147,9.652868398,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577238,6/5/14,30572147,19.15348681,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577245,6/5/14,30572147,20.20242886,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577252,6/5/14,30572147,21.55306782,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577259,6/5/14,30572147,18.26105974,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577266,6/5/14,30572147,22.18235021,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577273,6/5/14,30572147,19.78343471,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577280,6/5/14,30572147,16.93881324,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577287,6/5/14,30572147,14.90720709,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577294,6/5/14,30572147,23.62594108,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577301,6/5/14,30572147,13.34492356,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577308,6/5/14,30572147,19.54341402,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577315,6/5/14,30572147,20.89887845,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577322,6/5/14,30572147,15.78155152,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577329,6/5/14,30572147,21.85803934,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577336,6/5/14,30572147,19.26121191,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
39577343,6/5/14,30572147,15.35063163,1.25,Ads R Us,Fish Fry Mania,United States,iPad,(none)
