Portion,Overall Satisfaction,Likelihood to Recommend,Promotion,Experience meet expectations,Volunteers Service,Athlete/Coach Roster,Athlete/Coach Experience,Facility,Living Condition,Food,Training Design,Outdoor Activity and Experience,Camp Length,Performance - Pinnacle Team
1,5,5,5,5,5,5,5,5,4,5,5,5,1,5
1,4,4,4,4,5,5,4,5,3,3,5,5,2,5
1,4,4,4,3,4,4,4,4,2,3,4,4,2,4
1,3,4,5,4,5,3,3,5,4,4,4,4,2,5
1,5,5,5,5,5,5,5,5,3,4,5,5,1,5
1,5,5,5,5,5,5,5,5,4,5,5,5,2,5
1,3,4,3,3,5,5,5,5,1,2,4,3,1,4
1,4,4,4,3,5,4,5,5,1,2,2,5,2,5
1,5,3,3,4,5,5,3,5,3,3,5,5,1,5
1,4,5,3,4,5,4,4,5,2,3,3,5,2,4
1,4,5,3,4,5,5,5,5,3,4,4,4,1,5
1,5,5,3,5,5,5,5,5,3,4,5,5,1,5
1,5,5,5,5,5,5,5,5,3,4,5,5,2,5
3,5,5,5,5,5,5,5,5,4,4,4,5,2,5
1,4,4,5,4,5,5,5,5,3,3,4,4,1,5
2,5,5,5,5,5,5,5,5,5,5,5,5,2,5
2,4,5,4,4,5,4,4,4,4,5,4,5,2,5
2,5,5,4,5,5,5,5,5,5,5,4,5,2,5
1,5,5,5,5,5,5,5,5,5,5,5,5,1,5
1,5,4,3,3,3,3,3,3,3,3,5,3,2,5
1,4,5,5,4,5,4,5,5,3,3,4,4,2,5
,,,,,,,,,,,,,,
